Statistical profiling result from isolate-0x42f7a50-v8.log, (478 ticks, 2 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.2%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
      9    1.9%    1.9%  Builtin: InterpreterEntryTrampoline
      8    1.7%    1.7%  Builtin: CallFunction_ReceiverIsAny
      4    0.8%    0.8%  LazyCompile: ~removeListener events.js:306:28
      4    0.8%    0.8%  Builtin: Call_ReceiverIsAny
      3    0.6%    0.6%  LazyCompile: ~realpathSync fs.js:1376:22
      3    0.6%    0.6%  LazyCompile: ~basename path.js:1291:30
      3    0.6%    0.6%  Builtin: StringAdd_CheckNone_NotTenured
      2    0.4%    0.4%  LazyCompile: ~normalizeString path.js:57:25
      2    0.4%    0.4%  LazyCompile: ~handleWriteReq internal/stream_base_commons.js:12:24
      2    0.4%    0.4%  LazyCompile: ~getOptions internal/fs/utils.js:167:20
      2    0.4%    0.4%  LazyCompile: ~dirname path.js:1264:28
      2    0.4%    0.4%  LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:301:44
      2    0.4%    0.4%  LazyCompile: *normalizeString path.js:57:25
      2    0.4%    0.4%  Builtin: StoreIC
      2    0.4%    0.4%  Builtin: LoadIC_Noninlined
      2    0.4%    0.4%  Builtin: FindOrderedHashMapEntry
      2    0.4%    0.4%  Builtin: CompileLazy
      1    0.2%    0.2%  LazyCompile: ~write console.js:143:15
      1    0.2%    0.2%  LazyCompile: ~tryExtensions internal/modules/cjs/loader.js:208:23
      1    0.2%    0.2%  LazyCompile: ~resume_ _stream_readable.js:896:17
      1    0.2%    0.2%  LazyCompile: ~push internal/fixed_queue.js:71:7
      1    0.2%    0.2%  LazyCompile: ~nextPart fs.js:1372:31
      1    0.2%    0.2%  LazyCompile: ~getStringWidth internal/readline.js:35:43
      1    0.2%    0.2%  LazyCompile: ~getRunInContextArgs vm.js:151:29
      1    0.2%    0.2%  LazyCompile: ~gcd /home/spencer/Documents/github.com/fluffy-math/tools/fractional.js:4:14
      1    0.2%    0.2%  LazyCompile: ~from /home/spencer/Documents/github.com/fluffy-math/node_modules/rxjs/internal/observable/from.js:13:14
      1    0.2%    0.2%  LazyCompile: ~extname path.js:1369:28
      1    0.2%    0.2%  LazyCompile: ~baseSetToString /home/spencer/Documents/github.com/fluffy-math/node_modules/lodash/lodash.js:4022:64
      1    0.2%    0.2%  LazyCompile: ~assembleStyles /home/spencer/Documents/github.com/fluffy-math/node_modules/ansi-styles/index.js:19:24
      1    0.2%    0.2%  LazyCompile: ~args internal/util/types.js:11:10
      1    0.2%    0.2%  LazyCompile: ~addListener events.js:258:58
      1    0.2%    0.2%  LazyCompile: ~_extend util.js:290:17
      1    0.2%    0.2%  LazyCompile: ~Script vm.js:43:14
      1    0.2%    0.2%  LazyCompile: ~Readable.on _stream_readable.js:798:33
      1    0.2%    0.2%  LazyCompile: ~Module._load internal/modules/cjs/loader.js:502:24
      1    0.2%    0.2%  LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:220:28
      1    0.2%    0.2%  LazyCompile: ~MergeMapSubscriber.notifyComplete /home/spencer/Documents/github.com/fluffy-math/node_modules/rxjs/internal/operators/mergeMap.js:94:60
      1    0.2%    0.2%  LazyCompile: ~MergeMapSubscriber._tryNext /home/spencer/Documents/github.com/fluffy-math/node_modules/rxjs/internal/operators/mergeMap.js:65:54
      1    0.2%    0.2%  LazyCompile: ~Interface._getDisplayPos readline.js:670:46
      1    0.2%    0.2%  LazyCompile: ~Interface._getCursorPos readline.js:703:45
      1    0.2%    0.2%  LazyCompile: ~DoJoin native array.js:87:16
      1    0.2%    0.2%  LazyCompile: ~ConvertToString native array.js:125:25
      1    0.2%    0.2%  Builtin: ToString
      1    0.2%    0.2%  Builtin: StringSubstring
      1    0.2%    0.2%  Builtin: StringPrototypeSlice
      1    0.2%    0.2%  Builtin: StringPrototypeCharCodeAt
      1    0.2%    0.2%  Builtin: RecordWrite
      1    0.2%    0.2%  Builtin: LoadIC_Uninitialized
      1    0.2%    0.2%  Builtin: KeyedStoreIC_Megamorphic
      1    0.2%    0.2%  Builtin: JSConstructStubGeneric
      1    0.2%    0.2%  Builtin: Construct {1}
      1    0.2%    0.2%  Builtin: CallWithArrayLike
      1    0.2%    0.2%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_NoBuiltinExit

 [C++]:
   ticks  total  nonlib   name
    118   24.7%   24.7%  node::contextify::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     25    5.2%    5.2%  __GI___libc_write
     16    3.3%    3.4%  __GI___mprotect
     10    2.1%    2.1%  fwrite
     10    2.1%    2.1%  epoll_pwait
      7    1.5%    1.5%  node::GetBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      5    1.0%    1.0%  void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      5    1.0%    1.0%  node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.8%    0.8%  v8::internal::Scanner::Scan()
      3    0.6%    0.6%  void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.6%    0.6%  v8::internal::Map::GetConstructor() const
      3    0.6%    0.6%  v8::internal::Deserializer<v8::internal::DefaultDeserializerAllocator>::ReadData(v8::internal::MaybeObject**, v8::internal::MaybeObject**, int, unsigned long)
      3    0.6%    0.6%  node::i18n::GetStringWidth(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.6%    0.6%  node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.6%    0.6%  do_futex_wait.constprop.1
      3    0.6%    0.6%  _dl_addr
      3    0.6%    0.6%  __pthread_cond_signal
      3    0.6%    0.6%  __memcpy_sse2_unaligned_erms
      3    0.6%    0.6%  __GI___libc_malloc
      2    0.4%    0.4%  void v8::internal::BodyDescriptorBase::IteratePointers<v8::internal::IterateAndScavengePromotedObjectsVisitor>(v8::internal::HeapObject*, int, int, v8::internal::IterateAndScavengePromotedObjectsVisitor*)
      2    0.4%    0.4%  v8::internal::interpreter::BytecodeArrayWriter::MaybeElideLastBytecode(v8::internal::interpreter::Bytecode, bool) [clone .part.56]
      2    0.4%    0.4%  v8::internal::Scope::LookupRecursive(v8::internal::ParseInfo*, v8::internal::VariableProxy*, v8::internal::Scope*)
      2    0.4%    0.4%  v8::internal::Scanner::ScanIdentifierOrKeywordInner(v8::internal::Scanner::LiteralScope*)
      2    0.4%    0.4%  v8::internal::Scanner::Next()
      2    0.4%    0.4%  v8::internal::ParserBase<v8::internal::Parser>::ParseExpressionOrLabelledStatement(v8::internal::ZoneList<v8::internal::AstRawString const*>*, v8::internal::AllowLabelledFunctionStatement, bool*)
      2    0.4%    0.4%  v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
